channel_id,rel_x,rel_y,ccf_ap,ccf_dv,ccf_ml,region_id,acronym
143,790.0,2145.0,9396.75898932198,2263.5226926817923,5808.462212529862,42,SCdw
144,758.0,1080.0,9558.638036780303,3314.841746240846,5747.042170054456,872,DR
145,790.0,1080.0,9558.638036780303,3315.736501160904,5779.0296584465295,872,DR
146,758.0,1095.0,9556.358050196384,3300.0218334453657,5747.456713069714,872,DR
147,790.0,1095.0,9556.358050196384,3300.9165883654236,5779.444201461788,872,DR
148,758.0,1110.0,9554.078063612464,3285.201920649885,5747.871256084973,872,DR
149,790.0,1110.0,9554.078063612464,3286.096675569943,5779.8587444770465,795,PAG
150,758.0,1125.0,9551.798077028543,3270.3820078544045,5748.285799100231,872,DR
151,790.0,1125.0,9551.798077028543,3271.2767627744624,5780.273287492305,795,PAG
152,758.0,1140.0,9549.518090444622,3255.562095058924,5748.70034211549,872,DR
153,790.0,1140.0,9549.518090444622,3256.456849978982,5780.6878305075625,795,PAG
154,758.0,1155.0,9547.238103860704,3240.7421822634437,5749.114885130748,872,DR
155,790.0,1155.0,9547.238103860704,3241.6369371835017,5781.102373522821,795,PAG
156,758.0,1170.0,9544.958117276783,3225.9222694679634,5749.5294281460065,872,DR
157,790.0,1170.0,9544.958117276783,3226.8170243880213,5781.516916538079,795,PAG
158,758.0,1185.0,9542.678130692862,3211.102356672483,5749.943971161263,313,MB
159,790.0,1185.0,9542.678130692862,3211.997111592541,5781.931459553337,795,PAG
160,758.0,1200.0,9540.398144108944,3196.2824438770026,5750.358514176522,313,MB
161,790.0,1200.0,9540.398144108944,3197.1771987970606,5782.346002568595,795,PAG
162,758.0,1215.0,9538.118157525023,3181.4625310815222,5750.77305719178,313,MB
163,790.0,1215.0,9538.118157525023,3182.35728600158,5782.760545583854,795,PAG
164,758.0,1230.0,9535.838170941102,3166.642618286042,5751.1876002070385,313,MB
165,790.0,1230.0,9535.838170941102,3167.5373732061,5783.175088599112,795,PAG
166,758.0,1245.0,9533.558184357182,3151.822705490561,5751.602143222297,313,MB
167,790.0,1245.0,9533.558184357182,3152.717460410619,5783.58963161437,795,PAG
168,758.0,1260.0,9531.278197773263,3137.0027926950806,5752.016686237555,313,MB
169,790.0,1260.0,9531.278197773263,3137.8975476151386,5784.004174629628,795,PAG
170,758.0,1275.0,9528.998211189342,3122.1828798996003,5752.431229252814,795,PAG
171,790.0,1275.0,9528.998211189342,3123.077634819658,5784.418717644887,795,PAG
172,758.0,1290.0,9526.718224605422,3107.36296710412,5752.8457722680705,795,PAG
173,790.0,1290.0,9526.718224605422,3108.257722024178,5784.833260660144,795,PAG
174,758.0,1305.0,9524.438238021503,3092.543054308639,5753.260315283329,795,PAG
175,790.0,1305.0,9524.438238021503,3093.437809228697,5785.247803675403,795,PAG
176,758.0,1320.0,9522.158251437582,3077.7231415131587,5753.674858298587,795,PAG
177,790.0,1320.0,9522.158251437582,3078.6178964332166,5785.662346690661,795,PAG
178,758.0,1335.0,9519.878264853662,3062.9032287176783,5754.089401313846,140,AQ
179,790.0,1335.0,9519.878264853662,3063.7979836377363,5786.07688970592,795,PAG
180,758.0,1350.0,9517.598278269743,3048.083315922198,5754.503944329104,140,AQ
181,790.0,1350.0,9517.598278269743,3048.978070842256,5786.491432721177,795,PAG
182,758.0,1365.0,9515.318291685822,3033.2634031267175,5754.918487344363,140,AQ
183,790.0,1365.0,9515.318291685822,3034.1581580467755,5786.905975736436,795,PAG
184,758.0,1380.0,9513.038305101902,3018.443490331237,5755.333030359621,140,AQ
185,790.0,1380.0,9513.038305101902,3019.338245251295,5787.320518751694,140,AQ
186,758.0,1395.0,9510.758318517983,3003.623577535757,5755.747573374878,140,AQ
187,790.0,1395.0,9510.758318517983,3004.5183324558147,5787.735061766952,140,AQ
188,758.0,1410.0,9508.478331934062,2988.8036647402764,5756.162116390136,140,AQ
189,790.0,1410.0,9508.478331934062,2989.6984196603344,5788.14960478221,140,AQ
190,758.0,1425.0,9506.198345350142,2973.983751944796,5756.576659405395,140,AQ
191,790.0,1425.0,9506.198345350142,2974.878506864854,5788.564147797469,140,AQ
192,758.0,2160.0,9394.479002738059,2247.808024966254,5776.889267153047,26,SCdg
193,790.0,2160.0,9394.479002738059,2248.702779886312,5808.8767555451195,26,SCdg
194,758.0,2175.0,9392.199016154138,2232.9881121707735,5777.303810168305,26,SCdg
195,790.0,2175.0,9392.199016154138,2233.8828670908315,5809.291298560378,26,SCdg
196,758.0,2190.0,9389.91902957022,2218.1681993752927,5777.7183531835635,26,SCdg
197,790.0,2190.0,9389.91902957022,2219.0629542953507,5809.705841575636,26,SCdg
198,758.0,2205.0,9387.639042986299,2203.3482865798123,5778.132896198822,26,SCdg
199,790.0,2205.0,9387.639042986299,2204.2430414998703,5810.120384590895,26,SCdg
200,758.0,2220.0,9385.359056402378,2188.528373784332,5778.547439214079,26,SCdg
201,790.0,2220.0,9385.359056402378,2189.42312870439,5810.534927606152,26,SCdg
202,758.0,2235.0,9383.079069818457,2173.7084609888516,5778.961982229337,26,SCdg
203,790.0,2235.0,9383.079069818457,2174.6032159089095,5810.949470621411,26,SCdg
